Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
VOO,Vanguard S&P 500 ETF,Equity,"$718,744,000,000",10.36%,"6,370,747",$590.78,1.07%,No,False,2.33%,3.06%,22.11%,16.97%,15.78%,"$76,710,350,362.80","$1,667,480,331.48","$9,718,635,471.15","$135,372,297,643.99","$243,716,323,493.15","$322,691,373,522.71",Large Cap Growth Equities,2010-09-07,0.03%,Vanguard,$6.93,2025-06-30,$1.74,1.20%,20.10,1.00,507,36.58%,40%,20%,1099,$572.08,$589.75,$587.16,$592.68,65.69,A,A,B,B+,A-,A-,6.24,38.06%,42.88%,93.72,12.46%,8.87%
SPY,SPDR S&P 500 ETF Trust,Equity,"$655,007,000,000",10.31%,"72,124,800",$642.69,1.06%,No,False,2.34%,3.06%,22.02%,16.88%,15.71%,"-$20,462,081,335.30","$5,360,190,335.00","$4,580,985,213.50","$10,454,874,929.80","$52,179,894,295.45","$67,723,960,542.15",Large Cap Growth Equities,1993-01-22,0.09%,N/A,$7.17,2025-06-20,$1.76,1.14%,17.86,1.00,504,38.49%,40%,20%,1099,$622.38,$641.55,$638.70,$644.76,65.59,A+,A-,B,B+,A-,A-,6.24,38.38%,42.91%,93.59,12.44%,8.85%
IVV,iShares Core S&P 500 ETF,Equity,"$649,996,000,000",10.38%,"5,841,945",$645.74,1.06%,No,False,2.32%,3.08%,22.10%,16.95%,15.78%,"$11,367,290,293.70","$2,607,352,009.70","$7,107,810,632.45","$57,533,397,585.00","$140,073,760,564.15","$187,397,691,469.15",Large Cap Growth Equities,2000-05-15,0.03%,3 Platforms,$8.00,2025-06-16,$1.87,1.27%,19.66,1.00,504,38.51%,40%,20%,1099,$625.37,$644.66,$641.77,$647.85,65.77,A,A,B,B+,A-,A-,6.24,40.58%,43.14%,93.43,12.39%,8.82%
VTI,Vanguard Total Stock Market ETF,Equity,"$517,216,000,000",9.79%,"3,339,080",$316.13,1.22%,No,False,2.25%,2.97%,21.87%,16.09%,15.02%,"$23,351,103,536.68","$939,006,349.60","$2,060,103,605.73","$32,786,102,299.45","$85,016,442,382.61","$164,396,958,713.46",Large Cap Growth Equities,2001-05-24,0.03%,2 Platforms,$3.71,2025-06-30,$0.91,1.20%,19.10,1.02,3503,31.79%,40%,20%,1099,$306.35,$315.64,$313.99,$317.25,65.14,A,A,B-,B,B+,A,6.17,24.19%,40.27%,95.81,11.50%,8.36%
QQQ,Invesco QQQ Trust Series I,Equity,"$364,985,000,000",13.76%,"46,157,372",$580.05,1.26%,No,False,3.53%,4.66%,29.23%,22.21%,17.67%,"$7,314,084,900.00","$1,580,441,850.00","$2,142,560,850.00","$17,790,168,550.00","$41,602,074,850.00","$71,087,362,650.00",Large Cap Growth Equities,1999-03-10,0.20%,N/A,$2.82,2025-06-23,$0.59,0.49%,22.70,1.11,102,52.12%,40%,20%,1099,$554.48,$576.37,$574.91,$582.77,67.20,A,B+,A,C+,B-,B-,6.19,28.39%,41.04%,54.4,9.42%,10.64%
VUG,Vanguard Growth ETF,Equity,"$184,937,000,000",13.07%,"985,366",$462.96,1.04%,No,False,2.95%,4.83%,30.56%,22.01%,16.92%,"$9,967,045,030.31","$485,572,088.90","$1,039,048,739.47","$16,718,643,326.68","$32,022,693,469.06","$41,483,314,747.29",Large Cap Growth Equities,2004-01-26,0.04%,2 Platforms,$1.99,2025-06-30,$0.50,0.45%,28.80,1.11,167,59.24%,40%,20%,1099,$443.55,$461.67,$459.19,$464.90,66.66,A,A,A,C+,B-,B+,6.1,16.64%,38.12%,23.72,8.04%,12.54%
VEA,Vanguard FTSE Developed Markets ETF,Equity,"$168,151,000,000",23.74%,"12,331,386",$58.44,1.12%,No,False,2.71%,2.76%,23.11%,13.91%,10.54%,"$6,618,285,577.75","$290,336,419.50","$1,626,242,460.38","$11,067,167,025.92","$29,945,393,043.55","$53,622,864,401.63",Foreign Large Cap Equities,2007-07-20,0.03%,2 Platforms,$1.54,2025-06-20,$0.44,2.71%,12.60,0.89,3819,10.79%,40%,20%,1099,$55.88,$58.57,$58.09,$58.62,61.88,A,A,B+,B-,B,A,7.42,37.91%,86.99%,103.2,12.23%,5.55%
IEFA,iShares Core MSCI EAFE ETF,Equity,"$145,976,000,000",23.42%,"10,256,903",$85.21,1.18%,No,False,2.89%,2.58%,22.45%,14.14%,10.41%,"$4,923,906,660.00","$99,837,360.00","$1,431,860,600.00","$10,088,848,920.00","$21,982,560,920.00","$43,276,117,120.00",Foreign Large Cap Equities,2012-10-18,0.07%,Fidelity,$2.60,2025-06-16,$1.47,3.14%,13.05,0.87,2602,10.44%,40%,20%,1099,$81.38,$85.48,$84.68,$85.49,61.03,A,A,B+,B,B,A,7.49,44.55%,88.50%,88.08,13.42%,6.13%
VTV,Vanguard Value ETF,Equity,"$139,656,000,000",7.19%,"2,612,594",$179.43,1.01%,No,False,1.26%,0.66%,12.77%,11.23%,13.66%,"$4,872,723,633.96","$100,594,803.13","-$18,577,389.01","$9,876,972,559.27","$11,502,491,891.22","$44,555,287,122.54",Large Cap Value Equities,2004-01-26,0.04%,2 Platforms,$3.87,2025-06-30,$0.96,2.18%,15.80,0.89,337,20.53%,40%,20%,1099,$175.42,$180.87,$178.51,$179.93,57.70,A+,A,B+,A,B+,A,6.42,62.70%,50.20%,188.36,17.77%,2.79%
IWF,iShares Russell 1000 Growth ETF,Equity,"$116,273,000,000",12.36%,"1,135,673",$450.30,1.17%,No,False,3.06%,5.32%,30.49%,22.32%,17.57%,"-$1,776,616,199.60","-$88,581,664.65","-$236,923,679.35","-$748,437,980.25","-$1,071,596,543.50","-$4,238,301,694.75",Large Cap Growth Equities,2000-05-22,0.18%,TD Ameritrade,$1.77,2025-06-16,$0.39,0.41%,26.10,1.08,390,60.51%,40%,20%,1099,$429.37,$448.34,$446.57,$452.21,67.73,A,B+,A,C+,B-,A-,6.13,19.92%,39.10%,36.42,7.10%,12.93%
